Date,tatapower,borosil,powergrid,jswenergy
09-10-2018,61.05,239.25,186.45,59.2
10-10-2018,65.0,248.6,187.25,61.2
11-10-2018,62.35,243.05,186.05,59.45
12-10-2018,68.85,254.1,188.65,63.45
15-10-2018,71.3,263.8,188.25,64.1
16-10-2018,73.8,288.3,188.05,65.1
17-10-2018,72.4,272.7,189.1,64.1
19-10-2018,70.2,269.3,189.5,64.85
22-10-2018,69.5,260.35,189.05,64.5
23-10-2018,69.5,257.9,190.95,63.6
24-10-2018,69.25,262.35,190.65,63.95
25-10-2018,69.05,255.25,190.95,62.85
26-10-2018,68.95,257.5,188.1,63.7
29-10-2018,77.5,261.75,189.5,65.75
30-10-2018,77.55,268.15,186.8,66.3
31-10-2018,76.45,259.3,185.7,64.85
01-11-2018,76.4,258.9,188.8,65.5
02-11-2018,75.85,258.35,190.0,65.6
05-11-2018,75.15,257.45,185.85,68.15
06-11-2018,75.45,258.75,187.85,68.05
07-11-2018,76.05,261.0,188.95,68.65
09-11-2018,75.8,257.75,191.5,72.4
12-11-2018,74.35,252.75,186.0,70.0
13-11-2018,75.95,253.25,184.25,72.05
14-11-2018,77.9,248.8,186.0,70.8
15-11-2018,76.6,246.15,187.2,70.05
16-11-2018,76.65,249.7,187.95,70.6
19-11-2018,77.05,250.35,189.7,71.6
20-11-2018,78.05,242.5,188.0,69.4
21-11-2018,77.75,241.55,182.85,68.6
22-11-2018,74.9,240.45,179.95,67.45
26-11-2018,75.6,238.15,181.8,66.95
27-11-2018,75.55,235.95,181.7,67.0
28-11-2018,74.35,237.1,184.05,67.6
29-11-2018,75.1,234.25,181.2,68.05
30-11-2018,76.25,234.3,180.1,68.3
03-12-2018,82.5,239.0,184.45,69.3
04-12-2018,81.3,239.2,187.0,68.8
05-12-2018,80.4,233.8,183.4,68.85
06-12-2018,79.15,234.15,183.3,67.45
07-12-2018,79.3,231.7,182.55,68.7
10-12-2018,77.45,222.65,179.65,65.55
11-12-2018,79.0,231.35,180.15,66.4
12-12-2018,79.0,235.25,182.45,68.25
13-12-2018,78.55,236.7,182.95,70.6
14-12-2018,79.35,241.8,185.5,70.95
17-12-2018,77.8,239.2,192.5,70.95
18-12-2018,78.7,238.75,196.65,72.15
19-12-2018,79.45,241.4,198.95,71.5
20-12-2018,80.1,237.55,198.15,70.85
21-12-2018,76.5,236.05,196.9,70.95
24-12-2018,76.75,233.75,194.7,67.55
26-12-2018,75.95,228.9,195.9,67.75
27-12-2018,77.0,228.3,196.4,66.85
28-12-2018,77.15,229.8,197.75,69.35
31-12-2018,76.75,231.95,199.0,68.85
01-01-2019,76.85,235.7,199.9,69.8
02-01-2019,74.85,234.8,195.4,70.3
03-01-2019,74.15,233.2,193.3,69.9
04-01-2019,75.15,232.5,195.55,68.95
07-01-2019,74.7,228.85,198.4,70.0
08-01-2019,74.85,226.65,197.35,70.35
09-01-2019,74.3,226.65,197.2,70.05
10-01-2019,74.8,227.8,196.1,69.85
11-01-2019,75.0,226.2,194.25,70.1
14-01-2019,74.15,222.05,192.45,69.05
15-01-2019,74.95,222.9,192.4,68.9
16-01-2019,76.25,221.4,192.15,69.8
17-01-2019,76.0,221.1,194.25,69.0
18-01-2019,76.0,219.75,193.25,68.35
21-01-2019,75.95,220.45,191.35,68.05
22-01-2019,76.3,230.8,189.6,68.95
23-01-2019,75.25,229.15,186.1,68.75
24-01-2019,74.6,221.95,186.35,67.8
25-01-2019,73.95,215.25,186.2,66.7
28-01-2019,70.8,214.3,187.8,65.1
29-01-2019,71.0,216.0,186.15,64.25
30-01-2019,68.05,213.8,187.05,67.9
31-01-2019,71.3,212.7,188.65,67.0
01-02-2019,71.45,212.45,190.35,67.85
04-02-2019,70.5,211.95,184.4,67.85
05-02-2019,69.85,206.65,185.45,66.8
06-02-2019,70.2,201.85,186.85,66.95
07-02-2019,69.45,214.1,184.75,67.5
08-02-2019,68.65,217.5,180.45,66.55
11-02-2019,65.7,209.8,182.2,66.8
12-02-2019,66.35,207.45,181.3,66.85
13-02-2019,65.15,208.45,176.75,66.15
14-02-2019,67.6,202.1,174.85,65.5
15-02-2019,69.25,199.55,181.5,64.9
18-02-2019,65.4,197.45,180.65,64.6
19-02-2019,65.85,200.25,179.55,65.75
20-02-2019,66.2,210.65,182.0,65.4
21-02-2019,67.4,210.9,181.75,65.5
22-02-2019,67.1,209.8,181.9,65.8
25-02-2019,66.65,209.45,182.25,65.9
26-02-2019,66.3,204.05,181.8,65.4
27-02-2019,65.5,212.75,181.55,64.8
28-02-2019,65.35,211.05,182.55,64.6
01-03-2019,67.05,213.3,183.25,65.45
05-03-2019,69.0,225.8,182.95,68.1
06-03-2019,71.3,233.45,184.7,68.5
07-03-2019,70.55,227.5,187.25,70.5
08-03-2019,69.85,227.75,187.1,68.55
11-03-2019,71.7,225.5,194.4,68.5
12-03-2019,73.35,222.85,196.05,69.7
13-03-2019,73.7,216.15,194.55,68.15
14-03-2019,73.0,216.6,187.45,67.15
15-03-2019,73.75,217.75,192.35,67.3
18-03-2019,73.0,212.55,196.75,68.95
19-03-2019,73.0,221.95,198.7,67.95
20-03-2019,72.0,215.8,197.45,67.3
22-03-2019,72.5,215.65,198.5,65.4
25-03-2019,71.9,213.6,201.9,64.25
26-03-2019,71.25,213.0,202.75,65.6
27-03-2019,71.35,211.1,200.3,68.7
28-03-2019,71.4,212.35,198.3,68.8
29-03-2019,73.8,211.45,198.1,72.6
01-04-2019,74.2,216.5,195.6,73.65
02-04-2019,74.2,216.7,199.75,76.25
03-04-2019,71.65,216.95,200.35,71.95
04-04-2019,70.9,216.1,199.2,73.2
05-04-2019,71.75,218.45,196.3,73.1
08-04-2019,71.9,215.3,197.75,71.45
09-04-2019,72.5,215.75,198.35,72.2
10-04-2019,71.0,212.9,198.1,72.5
11-04-2019,72.45,214.8,195.85,72.2
12-04-2019,72.95,214.55,197.0,72.9
15-04-2019,71.35,215.85,198.1,74.2
16-04-2019,71.35,216.5,196.85,73.95
18-04-2019,70.55,215.1,194.2,72.4
22-04-2019,69.2,210.55,194.6,71.3
23-04-2019,68.3,209.3,192.75,71.75
24-04-2019,67.75,210.2,191.95,71.8
25-04-2019,67.5,209.5,191.3,69.9
26-04-2019,67.7,205.95,190.8,69.45
30-04-2019,67.75,202.15,186.3,69.65
02-05-2019,66.75,204.35,190.0,70.6
03-05-2019,67.15,203.8,190.4,70.4
06-05-2019,65.85,202.05,190.0,71.0
07-05-2019,64.4,199.65,191.6,68.9
08-05-2019,64.5,199.0,189.55,67.95
09-05-2019,64.45,204.0,187.95,67.5
10-05-2019,63.9,203.4,185.5,67.45
13-05-2019,62.65,200.1,182.45,67.1
14-05-2019,63.0,195.35,181.8,67.25
15-05-2019,61.35,190.25,178.8,66.9
16-05-2019,61.2,193.4,181.85,67.55
17-05-2019,61.45,191.7,182.1,66.75
20-05-2019,65.85,198.65,188.0,68.25
21-05-2019,64.4,195.9,184.0,66.25
22-05-2019,64.85,197.5,182.1,67.1
23-05-2019,64.6,198.7,184.45,66.05
24-05-2019,67.7,192.1,185.65,71.8
27-05-2019,70.65,197.5,187.05,72.95
28-05-2019,70.45,201.05,189.4,76.35
29-05-2019,68.6,204.25,190.3,73.3
30-05-2019,70.3,199.75,191.15,72.3
31-05-2019,68.85,195.7,189.15,73.35
03-06-2019,68.4,193.95,192.5,72.7
04-06-2019,66.75,193.05,193.1,73.2
06-06-2019,65.25,190.6,195.55,71.85
07-06-2019,66.1,190.5,191.2,70.1
10-06-2019,66.35,187.6,193.55,70.5
11-06-2019,66.3,186.9,193.1,70.25
12-06-2019,66.35,187.35,191.0,70.05
13-06-2019,66.0,186.35,193.75,70.7
14-06-2019,65.15,180.2,194.6,69.1
17-06-2019,64.55,171.35,194.05,66.3
18-06-2019,64.35,172.55,197.7,66.5
19-06-2019,63.55,177.5,200.8,65.6
20-06-2019,64.65,176.15,200.95,66.45
21-06-2019,65.2,177.65,199.95,66.6
24-06-2019,65.05,175.1,198.95,67.05
25-06-2019,66.15,175.05,201.55,67.1
26-06-2019,68.6,173.55,209.85,69.55
27-06-2019,68.65,170.85,207.55,69.1
